name,issue,killed,injured,all
Georgia,17,24,57,81
Texas,31,42,115,157
Ohio,11,15,39,54
Connecticut,6,2,34,36
Alabama,15,16,53,69
Illinois,42,32,158,190
New York,15,5,69,74
North Carolina,9,6,35,41
California,46,34,194,228
Florida,30,81,186,267
Maryland,11,12,47,59
New Mexico,4,11,7,18
New Jersey,9,4,41,45
Louisiana,13,15,54,69
Missouri,10,10,36,46
Kentucky,2,4,6,10
Mississippi,6,8,21,29
Tennessee,12,4,54,58
Washington,8,21,16,37
South Carolina,5,4,17,21
Pennsylvania,10,15,33,48
Arkansas,3,2,12,14
Virginia,11,14,41,55
Oklahoma,1,1,5,6
Michigan,11,15,43,58
Minnesota,5,1,24,25
Indiana,8,8,25,33
District of Columbia,5,2,23,25
Massachusetts,3,2,13,15
Wisconsin,2,3,5,8
Colorado,4,5,11,16
Arizona,4,12,15,27
Nevada,3,6,7,13
Oregon,2,3,5,8
Kansas,5,10,26,36
Delaware,2,1,8,9
West Virginia,1,1,3,4
